dataset,assessor,target,bin_lo,bin_hi,count,frac
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.00,0.05,891,0.1375
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.05,0.10,68,0.0105
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.10,0.15,50,0.0077
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.15,0.20,28,0.0043
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.20,0.25,22,0.0034
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.25,0.30,30,0.0046
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.30,0.35,14,0.0022
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.35,0.40,26,0.0040
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.40,0.45,22,0.0034
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.45,0.50,23,0.0035
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.50,0.55,0,0.0000
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.55,0.60,32,0.0049
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.60,0.65,40,0.0062
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.65,0.70,21,0.0032
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.70,0.75,30,0.0046
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.75,0.80,34,0.0052
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.80,0.85,36,0.0056
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.85,0.90,68,0.0105
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.90,0.95,102,0.0157
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.95,1.00,4945,0.7629
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.00,0.05,538,0.0815
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.05,0.10,34,0.0051
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.10,0.15,30,0.0045
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.15,0.20,9,0.0014
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.20,0.25,9,0.0014
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.25,0.30,12,0.0018
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.30,0.35,15,0.0023
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.35,0.40,8,0.0012
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.40,0.45,14,0.0021
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.45,0.50,17,0.0026
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.50,0.55,0,0.0000
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.55,0.60,20,0.0030
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.60,0.65,15,0.0023
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.65,0.70,12,0.0018
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.70,0.75,15,0.0023
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.75,0.80,16,0.0024
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.80,0.85,13,0.0020
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.85,0.90,45,0.0068
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.90,0.95,68,0.0103
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.95,1.00,5714,0.8652
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.00,0.05,2402,0.7513
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.05,0.10,46,0.0144
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.10,0.15,25,0.0078
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.15,0.20,18,0.0056
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.20,0.25,13,0.0041
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.25,0.30,13,0.0041
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.30,0.35,15,0.0047
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.35,0.40,14,0.0044
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.40,0.45,14,0.0044
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.45,0.50,13,0.0041
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.50,0.55,0,0.0000
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.55,0.60,13,0.0041
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.60,0.65,14,0.0044
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.65,0.70,19,0.0059
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.70,0.75,13,0.0041
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.75,0.80,11,0.0034
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.80,0.85,12,0.0038
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.85,0.90,28,0.0088
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.90,0.95,45,0.0141
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.95,1.00,469,0.1467
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.00,0.05,2242,0.6786
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.05,0.10,53,0.0160
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.10,0.15,39,0.0118
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.15,0.20,21,0.0064
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.20,0.25,24,0.0073
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.25,0.30,19,0.0058
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.30,0.35,18,0.0054
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.35,0.40,15,0.0045
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.40,0.45,18,0.0054
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.45,0.50,24,0.0073
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.50,0.55,0,0.0000
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.55,0.60,27,0.0082
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.60,0.65,17,0.0051
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.65,0.70,18,0.0054
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.70,0.75,17,0.0051
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.75,0.80,16,0.0048
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.80,0.85,16,0.0048
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.85,0.90,35,0.0106
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.90,0.95,58,0.0176
alfworld,Llama-3.3-70B-Instruct,deepseek-v4-flash,0.95,1.00,627,0.1898
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.00,0.05,340,0.0501
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.05,0.10,36,0.0053
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.10,0.15,13,0.0019
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.15,0.20,7,0.0010
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.20,0.25,9,0.0013
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.25,0.30,4,0.0006
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.30,0.35,12,0.0018
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.35,0.40,10,0.0015
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.40,0.45,10,0.0015
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.45,0.50,9,0.0013
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.50,0.55,0,0.0000
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.55,0.60,12,0.0018
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.60,0.65,7,0.0010
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.65,0.70,15,0.0022
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.70,0.75,8,0.0012
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.75,0.80,10,0.0015
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.80,0.85,10,0.0015
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.85,0.90,28,0.0041
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.90,0.95,38,0.0056
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.95,1.00,6212,0.9149
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.00,0.05,213,0.0447
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.05,0.10,166,0.0348
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.10,0.15,155,0.0325
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.15,0.20,128,0.0269
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.20,0.25,209,0.0439
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.25,0.30,137,0.0288
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.30,0.35,125,0.0262
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.35,0.40,76,0.0159
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.40,0.45,157,0.0329
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.45,0.50,142,0.0298
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.50,0.55,76,0.0159
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.55,0.60,139,0.0292
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.60,0.65,134,0.0281
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.65,0.70,121,0.0254
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.70,0.75,160,0.0336
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.75,0.80,253,0.0531
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.80,0.85,227,0.0476
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.85,0.90,280,0.0588
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.90,0.95,461,0.0967
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.95,1.00,1406,0.2951
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.00,0.05,55,0.0085
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.05,0.10,76,0.0117
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.10,0.15,73,0.0113
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.15,0.20,58,0.0089
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.20,0.25,99,0.0153
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.25,0.30,93,0.0143
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.30,0.35,90,0.0139
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.35,0.40,54,0.0083
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.40,0.45,112,0.0173
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.45,0.50,109,0.0168
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.50,0.55,70,0.0108
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.55,0.60,128,0.0197
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.60,0.65,149,0.0230
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.65,0.70,161,0.0248
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.70,0.75,242,0.0373
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.75,0.80,324,0.0500
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.80,0.85,364,0.0562
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.85,0.90,482,0.0744
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.90,0.95,834,0.1287
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.95,1.00,2909,0.4488
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.00,0.05,21,0.0032
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.05,0.10,49,0.0074
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.10,0.15,67,0.0101
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.15,0.20,40,0.0061
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.20,0.25,70,0.0106
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.25,0.30,56,0.0085
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.30,0.35,59,0.0089
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.35,0.40,24,0.0036
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.40,0.45,64,0.0097
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.45,0.50,71,0.0108
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.50,0.55,50,0.0076
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.55,0.60,102,0.0154
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.60,0.65,87,0.0132
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.65,0.70,102,0.0154
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.70,0.75,163,0.0247
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.75,0.80,224,0.0339
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.80,0.85,276,0.0418
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.85,0.90,337,0.0510
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.90,0.95,693,0.1049
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.95,1.00,4049,0.6131
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.00,0.05,422,0.1320
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.05,0.10,321,0.1004
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.10,0.15,262,0.0820
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.15,0.20,153,0.0479
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.20,0.25,225,0.0704
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.25,0.30,157,0.0491
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.30,0.35,143,0.0447
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.35,0.40,88,0.0275
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.40,0.45,152,0.0475
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.45,0.50,129,0.0404
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.50,0.55,82,0.0256
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.55,0.60,134,0.0419
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.60,0.65,117,0.0366
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.65,0.70,86,0.0269
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.70,0.75,126,0.0394
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.75,0.80,154,0.0482
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.80,0.85,135,0.0422
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.85,0.90,112,0.0350
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.90,0.95,115,0.0360
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.95,1.00,84,0.0263
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.00,0.05,292,0.0884
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.05,0.10,292,0.0884
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.10,0.15,311,0.0941
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.15,0.20,178,0.0539
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.20,0.25,232,0.0702
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.25,0.30,151,0.0457
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.30,0.35,134,0.0406
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.35,0.40,75,0.0227
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.40,0.45,128,0.0387
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.45,0.50,119,0.0360
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.50,0.55,59,0.0179
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.55,0.60,121,0.0366
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.60,0.65,124,0.0375
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.65,0.70,103,0.0312
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.70,0.75,137,0.0415
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.75,0.80,174,0.0527
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.80,0.85,152,0.0460
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.85,0.90,189,0.0572
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.90,0.95,205,0.0620
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,0.95,1.00,128,0.0387
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.00,0.05,25,0.0037
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.05,0.10,43,0.0063
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.10,0.15,53,0.0078
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.15,0.20,28,0.0041
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.20,0.25,54,0.0080
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.25,0.30,43,0.0063
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.30,0.35,37,0.0054
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.35,0.40,29,0.0043
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.40,0.45,49,0.0072
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.45,0.50,52,0.0077
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.50,0.55,44,0.0065
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.55,0.60,69,0.0102
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.60,0.65,90,0.0133
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.65,0.70,89,0.0131
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.70,0.75,166,0.0244
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.75,0.80,213,0.0314
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.80,0.85,345,0.0508
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.85,0.90,388,0.0571
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.90,0.95,731,0.1077
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0.95,1.00,4242,0.6247
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.00,0.05,1985,0.7846
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.05,0.10,28,0.0111
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.10,0.15,19,0.0075
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.15,0.20,18,0.0071
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.20,0.25,10,0.0040
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.25,0.30,13,0.0051
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.30,0.35,8,0.0032
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.35,0.40,4,0.0016
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.40,0.45,10,0.0040
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.45,0.50,4,0.0016
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.50,0.55,0,0.0000
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.55,0.60,9,0.0036
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.60,0.65,16,0.0063
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.65,0.70,13,0.0051
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.70,0.75,8,0.0032
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.75,0.80,15,0.0059
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.80,0.85,17,0.0067
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.85,0.90,21,0.0083
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.90,0.95,28,0.0111
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,0.95,1.00,304,0.1202
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.00,0.05,1077,0.3341
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.05,0.10,29,0.0090
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.10,0.15,37,0.0115
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.15,0.20,13,0.0040
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.20,0.25,12,0.0037
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.25,0.30,12,0.0037
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.30,0.35,13,0.0040
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.35,0.40,14,0.0043
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.40,0.45,10,0.0031
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.45,0.50,17,0.0053
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.50,0.55,0,0.0000
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.55,0.60,14,0.0043
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.60,0.65,21,0.0065
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.65,0.70,20,0.0062
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.70,0.75,13,0.0040
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.75,0.80,18,0.0056
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.80,0.85,13,0.0040
